id,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason,impressions
ir6L0t-RAyw,0.1,0.6,0.2,0.05,0.03,0.02,0.7,0.3,"This video likely appeals to younger viewers, particularly teenagers, due to its playful and interactive content involving animals and gaming. The humor and language style are more aligned with younger male audiences, who often engage in gaming and playful content.",203
lumM4x1vImA,0.0,0.1,0.2,0.4,0.2,0.1,0.7,0.3,"This video focuses on scientific topics like the Big Bang, astronomy, and theoretical physics, which generally attract an audience interested in science and education. Therefore, it is likely to appeal more to males and adults in their 30s and 40s with a strong interest in science and technology.",140
tqwYbAwQzvU,0.0,0.05,0.15,0.25,0.25,0.3,0.7,0.3,"This video focuses on the recycling processes of tires and plastics, which appeals to older audiences interested in industrial processes and sustainability. The technical nature and industrial setting of the content are more likely to attract male viewers.",132
mv3yq3tCeYU,0.01,0.05,0.25,0.4,0.2,0.09,0.7,0.3,"This video focuses on complex scientific discussions involving astronomy and physics, which are likely to attract adults with a higher level of education and interest in science, particularly those in their 30s and 40s. The technical nature and depth of the content tend to engage more male viewers due to existing interest trends in these subjects.",159
pcps4Re2AWY,0.0,0.05,0.3,0.4,0.2,0.05,0.7,0.3,This video is likely to appeal to a mature audience due to its complex narrative about relationships and personal struggles. The themes of infidelity and adult relationships are generally more relevant and engaging for male viewers in their 30s and 40s.,153
sEDbssYPB5Q,0.02,0.15,0.5,0.25,0.05,0.03,0.7,0.3,"This video has a playful and competitive cooking theme that likely appeals more to younger audiences, particularly those in their 20s and 30s who enjoy creative culinary content. The humorous and sports-like commentary style may also attract a male audience interested in cooking competitions and entertainment.",158
xeCsFtwVozo,0.0,0.15,0.65,0.15,0.05,0.0,0.7,0.3,"This video likely appeals to a younger audience, particularly those familiar with contemporary hip-hop and rap artists. The predominance of male artists and collaborations suggests a higher male viewership.",119
im0iQFbZJm4,0.0,0.4,0.5,0.1,0.0,0.0,0.7,0.3,"This video seems to appeal to younger audiences, particularly teenagers and people in their 20s, due to its mysterious and adventurous theme. The content also leans towards male viewers, possibly because of the suspenseful and thrilling nature of the storyline.",104
xe9l2v6ENeU,0.01,0.1,0.3,0.35,0.15,0.09,0.7,0.3,"This video features a post-apocalyptic scenario filled with action, survival themes, and complex narrative elements, which tend to appeal more to adults, especially those in their 20s and 30s. Additionally, the intense and adventurous nature of the content is more likely to attract a male audience.",136
OJFTg-T_yks,0.01,0.1,0.4,0.3,0.15,0.04,0.7,0.3,"This video is focused on scientific topics and space exploration, which are generally more appealing to younger adults and males. The conversational style and humorous elements make it particularly engaging for viewers in their 20s and 30s.",162
RkgeRZf2eNo,0.0,0.1,0.2,0.5,0.1,0.1,0.7,0.3,"This video is likely to attract viewers interested in celebrity controversies and culinary discussions, which often appeals to a more mature audience, particularly in their 30s. The focus on a male celebrity and themes around food might resonate more with a male demographic.",125
K8O9qjBgk24,0.01,0.25,0.4,0.2,0.1,0.04,0.7,0.3,"This video focuses on horror and supernatural elements, which tend to attract younger audiences, especially those in their 20s. The narration style and the topics discussed are more appealing to a male-oriented audience due to the intense and thrilling nature of the stories.",109
hl5Bn6pVYn8,0.05,0.2,0.35,0.2,0.1,0.1,0.7,0.3,"This video appeals to a younger audience, particularly those in their 20s and 30s, due to its casual cooking style and humorous presentation. The frequent mention of 'soul food' and associations with comfort food like pork stir-fry resonate more with male viewers.",224
BUrnpH97Mp4,0.0,0.3,0.5,0.2,0.0,0.0,0.7,0.3,"This video is most likely to attract younger audiences who are fans of the Marvel Cinematic Universe, particularly teenagers and young adults. The detailed analysis of Marvel characters indicates a stronger appeal towards male viewers, who are traditionally more engaged with superhero narratives.",105
HfzsnNxZlZY,0.05,0.2,0.35,0.25,0.1,0.05,0.7,0.3,"This video likely appeals to viewers interested in extreme environments and thrilling adventures, which tend to attract younger demographics, particularly those in their 20s and 30s. The content's focus on dangerous locations and driving might also appeal more to male viewers, who statistically are more interested in high-risk, adrenaline-pumping activities.",104
tpELVmvCZYg,0.0,0.05,0.15,0.3,0.35,0.15,0.7,0.3,"This video primarily targets adults dealing with financial decisions and economic challenges, which is more common among individuals in their 30s and 40s. The content's focus on strategic consumption habits and savings suggests more appeal to men who are traditionally more engaged with topics related to economic strategies.",302
u_ziPVJyO1o,0.05,0.6,0.25,0.05,0.03,0.02,0.7,0.3,"This video seems to be centered around gaming content, which typically attracts a younger audience, particularly teenagers. The language suggests an informal and dynamic style that is often favored by a male demographic.",122
CKlXdPx26SY,0.0,0.1,0.3,0.3,0.2,0.1,0.7,0.3,"This video focuses on the cultural exploration and enjoyment of Korean fried chicken, which appeals strongly to food enthusiasts and those interested in culinary experiences. The content is likely to attract a slightly older, male audience who are interested in exploring international foods and food pairings, such as the combination of beer and fried chicken.",127
PWirijQkH4M,0.05,0.55,0.3,0.05,0.03,0.02,0.7,0.3,"This video features extreme physical challenges and a high-stakes competition, which are likely to appeal more to a younger audience, particularly teenagers and young adults. The adventurous and competitive nature of the content may attract a predominantly male viewership.",163
Gbc-8ReAI1g,0.05,0.4,0.35,0.15,0.04,0.01,0.7,0.3,"This video is likely to be popular among teenagers and young adults due to its informal and playful tone, which resonates with a younger audience. The content involving adventure, humor and social interactions suggests a male-dominated viewership.",172
rZtnJgm5tOs,0.0,0.05,0.3,0.4,0.15,0.1,0.7,0.3,"This video focuses on seafood market exploration, pricing, and local delicacies, which typically interest adults with disposable income, likely in their 20s to 40s. The detailed, technical nature of the content is likely to attract more male viewers who are often interested in market and culinary expertise.",241
4e0fSiOWTg4,0.0,0.1,0.5,0.3,0.1,0.0,0.7,0.3,"This video likely appeals to a younger audience, primarily in their 20s and 30s, who are drawn to intense drama and action themes. The high male viewership is due to the survival and action elements that typically resonate more with men.",130
VnbznehJlMk,0.0,0.05,0.15,0.3,0.4,0.1,0.7,0.3,"This video focuses on fishing and camping, activities that typically attract a male audience, particularly those over 30. The travel and adventure aspect may appeal more to adults with leisure time, hence the focus on older age groups.",157
2ZkR9c9-TxA,0.0,0.05,0.35,0.4,0.15,0.05,0.7,0.3,"This video explores complex scientific concepts and theories, which are likely to attract viewers with a strong interest in science and education. It is particularly appealing to young adults and middle-aged men, who are more likely to engage with technical and in-depth scientific discussions.",316
ACSWomMzV_E,0.0,0.1,0.2,0.4,0.2,0.1,0.7,0.3,"This video likely appeals to an audience interested in intense drama and complex characters, which often resonates with viewers in their 30s and 40s. Additionally, the aviation and technical aspects of the story may attract a male-skewed viewership.",257
yTJoZikM-uE,0.05,0.2,0.45,0.2,0.1,0.0,0.7,0.3,"This video likely appeals to a younger audience, predominantly in their 20s, due to its energetic and adventurous content. The focus on survival content and outdoor activities typically resonates more with males, explaining the skew towards a male audience.",251
pzXBGUTli30,0.0,0.1,0.6,0.2,0.1,0.0,0.7,0.3,"This video is likely to attract younger audiences, particularly those in their 20s, due to its informal and energetic style, which aligns with the gaming content popular among this demographic. The male-oriented language and game-centric discussion suggest a predominantly male audience.",110
6hTsJN6Tgq4,0.0,0.3,0.5,0.2,0.0,0.0,0.7,0.3,"This video features intense lyrical themes and a fast-paced rap style, which often appeals to a younger audience, particularly those in their teens and twenties. The aggressive and competitive tone of the lyrics is likely more attractive to male viewers, reflecting typical interests in dominant and energetic content.",116
lVz1meN46VI,0.05,0.1,0.25,0.35,0.15,0.1,0.7,0.3,"This video focuses on detailed crafting and technical skills involved in creating a 3D figure, which tends to attract viewers with an interest in DIY projects and model making. The video is likely to appeal more to a male audience in their 20s to 30s who often engage in such hobbies.",234
wsCZB3hUGW8,0.0,0.05,0.15,0.3,0.3,0.2,0.7,0.3,"This video is likely to attract viewers who are interested in life stories and personal experiences, typically appealing to mature audiences. The discussion of sensitive topics like death and funerals suggests a male-dominated viewership due to the presence of a male host and professionals.",186
rvnSGjkxpJE,0.0,0.05,0.2,0.4,0.25,0.1,0.7,0.3,"This video discusses complex and intriguing topics such as ancient history, archaeology, and extraterrestrial theories, which are typically appealing to an older demographic, particularly those in their 30s and 40s. It also leans towards a male audience due to the technical and scientific nature of the content.",215
gseaPifd6d0,0.0,0.1,0.4,0.3,0.15,0.05,0.7,0.3,"This video discusses a serious security breach affecting a major telecom company, which is likely to attract an audience concerned with privacy, legal implications, and personal security. The topic, coupled with the legal discussion, is more relevant to young to middle-aged adults and may appeal more to males who are typically more engaged in tech-related and legal discourse.",133
NgHV5UiQBjs,0.0,0.05,0.15,0.25,0.35,0.2,0.7,0.3,"This video discusses the experiences and challenges faced by funeral directors, which is likely to attract viewers with an interest in life and death topics, typically older adults. The detailed and mature content is more appealing to men, who might be interested in the occupational and philosophical aspects of the funeral industry.",130
hziY4RSmFK8,0.0,0.1,0.3,0.4,0.15,0.05,0.7,0.3,"This video primarily appeals to adults who enjoy culinary experiences, particularly those interested in unique and local food offerings. The focus on rare and flavorful pork steaks is likely to attract a male audience, possibly in their 20s to 40s, who are more adventurous in trying different cuisines.",191
tGoGbcvyE7E,0.05,0.1,0.3,0.3,0.15,0.1,0.7,0.3,This video likely appeals to aviation enthusiasts who are generally more male and within the age range of 20 to 40. The technical language and focus on aviation details suggest viewers with a specific interest in aircraft and flight operations.,169
LIhNfKl3-K8,0.0,0.1,0.5,0.3,0.1,0.0,0.7,0.3,"This video likely appeals to a younger audience, primarily in their 20s and 30s, due to its humorous and prank-based content. The informal and playful nature of the content may resonate more with males, given the themes of adventure and comedy.",169
KH4dUvuOheU,0.0,0.3,0.5,0.2,0.0,0.0,0.7,0.3,"This video is likely to appeal to teenagers and young adults due to its fantasy elements and storyline involving magic and adventure. The content also seems to cater more to a male audience, given its action-oriented plot and themes of power and independence.",132
4IMcmqu4mSI,0.0,0.4,0.5,0.1,0.0,0.0,0.7,0.3,"This video likely appeals to younger audiences, particularly those in their teens and twenties, due to its heavy focus on popular culture references and modern music themes. The masculine tone and themes of material success and bravado suggest a greater appeal to male viewers.",146
w9dyB3Y7J-c,0.02,0.3,0.5,0.15,0.02,0.01,0.7,0.3,"This video appeals to viewers interested in superhero movies, specifically the Marvel Cinematic Universe, which has a strong following among younger audiences. The action-packed narrative and focus on iconic characters like Iron Man and Thor are likely to attract predominantly male viewers aged 10 to 30.",145
4mRilaB2GCA,0.0,0.05,0.3,0.4,0.2,0.05,0.7,0.3,"This video showcases a local culinary experience with a comedic and relaxed narrative style, which likely appeals to a mid-range adult audience. The focus on local food, combined with the host's humorous and easygoing manner, is more relatable to male viewers who enjoy food-related content.",235
2iWnJHtLTDw,0.05,0.6,0.25,0.05,0.03,0.02,0.7,0.3,"This video features chaotic and humorous elements that align with younger audiences, particularly teenagers. The content's focus on absurd and fictional scenarios is especially appealing to a male audience.",834
6PWRBZZovSU,0.0,0.05,0.15,0.3,0.3,0.2,0.7,0.3,"This video discusses driving and traffic scenarios, which are typically of interest to adults who drive regularly. The analytic nature of the content suggests it appeals more to a male audience, as men may be more engaged with discussions about driving rules and road situations.",182
NAEt0SDZAzM,0.0,0.15,0.45,0.3,0.1,0.0,0.7,0.3,"This video seems to appeal mostly to young adults in their 20s and 30s due to its action-packed narrative and themes of espionage and intrigue. The predominantly male audience can be attributed to the focus on intense action and strategic elements, which traditionally draw more male viewers.",120
d81na8Tx0eM,0.0,0.0,0.1,0.3,0.4,0.2,0.7,0.3,"This video predominantly focuses on real estate investments and housing market analysis, which typically attracts a middle-aged audience with financial stability. Additionally, the technical nature of the content is more appealing to men, who are statistically more involved in real estate discussions.",111
-bNqCRiYs9A,0.0,0.2,0.5,0.2,0.1,0.0,0.7,0.3,"This video appeals mainly to young adults in their 20s due to its adventurous theme and humorous presentation, with a focus on achieving ambitious goals. The predominantly male audience is likely because of the competitive and challenging nature of the content, which often resonates more with male viewers.",111
6sdzFmJkP8Q,0.0,0.05,0.1,0.2,0.3,0.35,0.7,0.3,This video is likely to appeal to an older audience since it discusses health and lifestyle topics relevant to middle-aged and senior individuals. The casual and informative tone is more likely to attract men who are interested in health tips and personal anecdotes.,106
atTRmZOLHuU,0.05,0.2,0.35,0.25,0.1,0.05,0.7,0.3,This video contains political satire and humor that typically appeals to young adults and middle-aged people who are interested in politics. The comedic and informal tone is more likely to attract a male audience.,493
wlw6A1UMUOY,0.05,0.2,0.5,0.15,0.07,0.03,0.7,0.3,"This video showcases luxury travel experiences and unique accommodations like an underwater hotel, appealing mostly to young adults who are interested in travel and adventure. The adventurous and exploratory nature of the content, along with the host's enthusiastic presentation, might attract a younger, predominantly male audience who are more likely to envision themselves in similar experiences.",169
qOs_p4KV5s4,0.1,0.6,0.25,0.03,0.01,0.01,0.7,0.3,"This video features game-related pranks and humorous content, which typically attracts a younger audience, particularly teenagers and young adults. The male-dominated gaming culture also suggests a higher likelihood of male viewers.",105
yg6IB9v5k3Y,0.0,0.1,0.4,0.4,0.1,0.0,0.7,0.3,"This video consists of action-packed sequences, crime elements, and a focus on physical resilience, which tends to attract a younger male demographic. The themes of crime-solving and physical challenges are typically more appealing to viewers in their 20s and 30s.",287
MXwecZ7Da5o,0.0,0.15,0.35,0.35,0.1,0.05,0.7,0.3,"This video likely attracts a younger audience, particularly those in their 20s and 30s, due to its exploration theme and casual, humorous style. The content's focus on island exploration and fishing may appeal more to male viewers, hence a higher male audience prediction.",271
O-59BpsY5oc,0.0,0.2,0.5,0.2,0.1,0.0,0.7,0.3,"This video is likely to attract viewers interested in superhero action films, which tend to appeal more to younger adults and teenagers. The heavy focus on action, technology, and sci-fi elements is generally more appealing to male audiences.",300
E-Wg40_tCYs,0.1,0.6,0.2,0.05,0.03,0.02,0.7,0.3,"This video features themes of school competitions, friendship, and playful banter, which are particularly appealing to teenagers, especially those in high school. Additionally, the presence of male-oriented competitive activities and humor suggests a stronger male viewership.",116
IWza_uEeN_U,0.0,0.0,0.1,0.2,0.3,0.4,0.7,0.3,"This video features a conversation on entrepreneurship, retirement, and family dynamics, which are topics likely to engage viewers aged 40 and above. The focus on business and product marketing suggests a male-dominated audience.",110
jQKjBuPz8A0,0.005,0.05,0.35,0.35,0.15,0.095,0.65,0.35,"This video likely attracts viewers in their 20s and 30s because it explores a unique and adventurous perspective on prisons, appealing to a demographic interested in travel and societal issues. The slightly higher male viewership can be attributed to the adventurous and investigative nature of the content.",298
tMCSNqc42lg,0.05,0.25,0.4,0.2,0.05,0.05,0.65,0.35,"This video appeals primarily to young adults interested in nature and complex ecosystems, especially those who enjoy learning about survival and adaptation in harsh environments. The technical and scientific aspects may attract more male viewers who are typically more interested in detailed simulations and ecological experiments.",126
0KDosjF0iYM,0.01,0.1,0.5,0.25,0.1,0.04,0.65,0.35,"This video covers advanced topics in AI and technology, which are typically of interest to a younger, tech-savvy audience, likely in their 20s and 30s. Additionally, the technical and scientific focus of the content is more commonly associated with a male demographic.",125
daz9nDiIy98,0.0,0.05,0.1,0.35,0.3,0.2,0.65,0.35,"This video explores historical and genealogical topics, which are typically more appealing to older audiences, particularly those interested in history and cultural heritage. The content also tends to attract a male audience due to its in-depth historical analysis and discussion of ancient political and military history.",255
Sv80qmdJl6w,0.05,0.4,0.4,0.1,0.03,0.02,0.65,0.35,"This video seems to target a younger audience, particularly teenagers and young adults, due to its playful and energetic nature. The humor and style suggest a male-dominated viewership, but it also includes elements that can appeal to female viewers.",152
ArCtFOOlLps,0.05,0.15,0.45,0.25,0.08,0.02,0.6,0.4,"This video appeals primarily to young adults, particularly those in their 20s, due to its adventurous exploration of a zoo. The content is slightly more appealing to males who often engage in wildlife and exploration content.",164
kgWRCf5oT1Q,0.01,0.7,0.25,0.03,0.01,0.0,0.6,0.4,"This video appears to target a younger audience, primarily teenagers, due to its informal and humorous style combined with content relating to social media trends. The use of casual banter and references to youth culture suggest a slight male majority, while still appealing to a significant female audience as well.",164
Ke7Os6UOTDk,0.0,0.05,0.15,0.5,0.2,0.1,0.6,0.4,"This video appeals mainly to middle-aged adults as it revolves around friendship, life reflections, and rural life experiences. The storytelling style and mature themes align more with male viewers who may relate to the protagonist's life journey and emotional experiences.",179
w7C2wJrejwg,0.0,0.05,0.15,0.3,0.3,0.2,0.6,0.4,"This video primarily discusses inheritance taxes and related financial strategies, which are topics generally more relevant to adults, particularly those in their 30s to 50s who are handling family finances or estate planning. The content might attract slightly more male viewers, as financial and tax planning topics often see a higher male audience engagement.",264
mDAH_XImAMI,0.05,0.4,0.35,0.1,0.05,0.05,0.6,0.4,"This video features playful and energetic activities in a kid's park, likely appealing to a younger audience, particularly teens and young adults. The humorous and adventurous nature of the activities might slightly attract more males, but females would also find it engaging.",155
1ed3MFzhy3g,0.0,0.05,0.15,0.3,0.3,0.2,0.6,0.4,"This video is a historical analysis focusing on contrasting Korea and Japan, which tends to attract viewers interested in deep historical insights and national pride. Given the academic and reflective nature of the content, it is likely to appeal more to viewers in their 30s and 40s, with a slight male skew due to the historical and political subject matter.",125
l0sGkauFw1Q,0.0,0.2,0.5,0.2,0.1,0.0,0.6,0.4,"This video appeals to younger audiences, particularly those in their 20s, due to its comedic and energetic nature. The content's humor and competitive elements may slightly attract more male viewers, contributing to a higher male viewership.",137
XF6uykfE8oY,0.0,0.05,0.2,0.5,0.2,0.05,0.6,0.4,"This video targets individuals interested in real estate investment and home ownership, topics typically appealing to adults in their 30s and 40s. The detailed discussion on mortgage conditions and location analysis suggests a male-dominated interest, although females are also likely to be interested in such financial matters.",110
